class,latitude,longitude
no_time_zone,27.9477595,-82.458444
no_time_zone,39.7837304,-100.4458825
no_time_zone,40.7306458,-73.9866136
no_time_zone,44.4903685,-73.1117871042902
no_time_zone,16.8602906,-99.8768321
no_time_zone,46.8443248,-71.2743272
no_time_zone,63.8468189,-22.4306655
no_time_zone,29.6109485,-98.9313285
no_time_zone,40.2971825,-111.694943
no_time_zone,38.8949549,-77.0366456
no_time_zone,34.395342,-111.7632755
no_time_zone,42.8509152,-72.5578678
no_time_zone,39.017936,-77.2094542
no_time_zone,36.29885175,-82.3591933141095
no_time_zone,46.8443248,-71.2743272
no_time_zone,29.6519396,-82.3249961
no_time_zone,43.653963,-79.387207
no_time_zone,50.8220399,-0.1374061
no_time_zone,38.8949549,-77.0366456
no_time_zone,27.9477595,-82.458444
no_time_zone,38.6337716,-90.2416548
no_time_zone,57.46546785,10.5305537848102
no_time_zone,45.5202471,-122.6741949
no_time_zone,34.5068601,-82.6506264
no_time_zone,36.7014631,-118.7559974
no_time_zone,37.7884969,-122.3558473
no_time_zone,39.7837304,-100.4458825
no_time_zone,39.4862126,-77.3519285
no_time_zone,41.6845299,-72.9413957722443
no_time_zone,44.9391565,-123.033121
no_time_zone,41.8755546,-87.6244212
no_time_zone,25.6651051,-100.4022714
no_time_zone,30.3321838,-81.655651
no_time_zone,40.0757384,-74.4041622
no_time_zone,38.8949549,-77.0366456
no_time_zone,37.3230107,-122.0322519
no_time_zone,37.4248398,-122.1677058
no_time_zone,28.0836269,-80.6081089
no_time_zone,39.7837304,-100.4458825
no_time_zone,35.6729639,-79.0392919
no_time_zone,-51.6404112,-69.2210904
no_time_zone,38.5815719,-121.4943996
no_time_zone,45.5202471,-122.6741949
no_time_zone,49.2608724,-123.1139529
no_time_zone,34.823987,-89.9937018
no_time_zone,31.8160381,-99.5120986
no_time_zone,51.5073219,-0.1276474
no_time_zone,35.9966551,-78.9018115
no_time_zone,45.5202471,-122.6741949
no_time_zone,37.3790629,-122.116578
no_time_zone,37.3790629,-122.116578
no_time_zone,38.9584018,-77.3579743
no_time_zone,39.9523993,-75.1635899
no_time_zone,32.8980994,-117.192638035112
no_time_zone,34.2694474,-118.781482
no_time_zone,38.8949549,-77.0366456
no_time_zone,46.2017559,6.1466014
no_time_zone,44.2594567,-76.3726503
no_time_zone,42.3604823,-71.0595678
no_time_zone,-28.6483333,153.6177778
no_time_zone,7.7382813,98.7709086
no_time_zone,45.5202471,-122.6741949
no_time_zone,30.2711286,-97.7436995
no_time_zone,40.0149856,-105.2705456
no_time_zone,40.0149856,-105.2705456
no_time_zone,-37.8493516,145.114898034223
no_time_zone,33.1506744,-96.8236116
no_time_zone,32.2218917,-110.9262353
no_time_zone,40.7306458,-73.9866136
no_time_zone,39.7837304,-100.4458825
no_time_zone,35.9966551,-78.9018115
no_time_zone,40.3270127,-86.1746933
no_time_zone,29.6519396,-82.3249961
no_time_zone,34.7575227,-112.4537809
no_time_zone,42.3604823,-71.0595678
no_time_zone,33.5091215,-111.8992365
no_time_zone,27.7567667,-81.4639835
no_time_zone,19.8224549,-155.4703003
no_time_zone,40.7306458,-73.9866136
no_time_zone,41.1348213,-81.4848086
no_time_zone,40.3270127,-86.1746933
no_time_zone,39.7837304,-100.4458825
no_time_zone,39.7837304,-100.4458825
no_time_zone,36.7014631,-118.7559974
no_time_zone,39.7837304,-100.4458825
no_time_zone,38.7251776,-105.6077167
no_time_zone,34.054935,-118.244476
no_time_zone,39.7837304,-100.4458825
no_time_zone,32.7762719,-96.7968559
no_time_zone,47.6038321,-122.3300624
no_time_zone,6.4550575,3.3941795
no_time_zone,34.054935,-118.244476
no_time_zone,37.4429964,-122.1545229
no_time_zone,27.9477595,-82.458444
no_time_zone,38.8949549,-77.0366456
no_time_zone,34.054935,-118.244476
no_time_zone,38.8903961,-77.0841585
no_time_zone,38.9051994,-77.062785
no_time_zone,29.7457771,-98.6433561
no_time_zone,37.9366363,23.6508109
no_time_zone,39.7837304,-100.4458825
no_time_zone,40.7670126,-111.8904308
no_time_zone,45.5202471,-122.6741949
no_time_zone,37.4429964,-122.1545229
no_time_zone,30.3321838,-81.655651
no_time_zone,40.6342711,22.9420357
no_time_zone,38.7251776,-105.6077167
no_time_zone,39.729432,-104.8319196
no_time_zone,33.7490987,-84.3901849
no_time_zone,39.7837304,-100.4458825
no_time_zone,46.8443248,-71.2743272
no_time_zone,33.81528535,-117.92142876289
no_time_zone,34.02332,-84.360022
no_time_zone,36.29885175,-82.3591933141095
no_time_zone,36.29885175,-82.3591933141095
no_time_zone,31.8111305,-106.501349395577
no_time_zone,36.1662859,-115.149225
no_time_zone,44.9955309,-79.5692407
no_time_zone,40.0796319,-89.4339809
no_time_zone,37.442156,-122.1634472
no_time_zone,30.4057552,-86.618842
no_time_zone,46.8443248,-71.2743272
no_time_zone,30.2711286,-97.7436995
no_time_zone,40.7306458,-73.9866136
no_time_zone,38.8949549,-77.0366456
no_time_zone,37.40088,-79.1844923945909
no_time_zone,38.8147596,-77.0902476527272
no_time_zone,36.7014631,-118.7559974
no_time_zone,36.1662859,-115.149225
no_time_zone,36.7014631,-118.7559974
no_time_zone,36.7014631,-118.7559974
no_time_zone,38.8949549,-77.0366456
no_time_zone,27.7703796,-82.6695085
no_time_zone,33.7490987,-84.3901849
no_time_zone,38.9669741,-77.0527665
no_time_zone,40.0149856,-105.2705456
no_time_zone,40.0149856,-105.2705456
no_time_zone,31.8160381,-99.5120986
no_time_zone,38.8903961,-77.0841585
no_time_zone,43.5499749,-96.700327
no_time_zone,37.4429964,-122.1545229
no_time_zone,37.442156,-122.1634472
no_time_zone,39.52927,-119.8136744
no_time_zone,33.7490987,-84.3901849
no_time_zone,39.7391536,-104.9847034
no_time_zone,30.2711286,-97.7436995
no_time_zone,38.8949549,-77.0366456
no_time_zone,38.8949549,-77.0366456
no_time_zone,38.8949549,-77.0366456
no_time_zone,38.8949549,-77.0366456
no_time_zone,41.7620447,-72.7420399
no_time_zone,38.8147596,-77.0902476527272
no_time_zone,40.7306458,-73.9866136
no_time_zone,21.48349555,-158.03640389298
no_time_zone,26.1420358,-81.7948103
no_time_zone,34.054935,-118.244476
no_time_zone,35.47055835,-97.5110472876507
no_time_zone,32.3293809,-83.1137366
no_time_zone,36.29885175,-82.3591933141095
no_time_zone,30.2711286,-97.7436995
no_time_zone,38.8949549,-77.0366456
no_time_zone,35.7803977,-78.6390989
no_time_zone,36.1662859,-115.149225
no_time_zone,8.444585,125.951249185475
no_time_zone,38.9848265,-77.0946459
no_time_zone,39.7837304,-100.4458825
no_time_zone,33.669405,-112.0918513
no_time_zone,37.442156,-122.1634472
no_time_zone,41.2587317,-95.9378732
no_time_zone,38.1320798,-78.427788
no_time_zone,42.4605189,-71.3488963
